Timestamp,City,Latitude,Longitude,Weather,Road_Condition,Fatalities,Serious_Injuries,Minor_Injuries,Risk_Score
2024-12-16 16:00:00,Bengaluru,12.981034806097929,77.54990900894431,Clear,Wet,0,0,4,4
2024-10-12 08:00:00,Bengaluru,12.84942004698383,77.50726655487951,Clear,Dry,0,0,3,3
2024-09-11 12:00:00,Delhi,28.624214738370796,77.12900122042112,Clear,Wet,0,1,2,5
2024-01-02 07:00:00,Delhi,28.55223842879327,77.1454388001184,Foggy,Wet,0,2,4,10
2024-03-21 13:00:00,Hyderabad,17.442660895435147,78.49055897570004,Clear,Dry,0,0,3,3
2024-09-26 05:00:00,Mumbai,19.014161343853075,72.88997525215595,Clear,Dry,0,0,0,0
2024-03-22 00:00:00,Delhi,28.635743898124602,77.21399349804116,Clear,Dry,0,0,8,8
2024-08-28 15:00:00,Hyderabad,17.384859921792167,78.49420264593006,Rainy,Under Construction,0,0,0,0
2024-07-14 13:00:00,Chennai,13.070504528310108,80.29728300848811,Rainy,Dry,0,0,2,2
2024-10-02 13:00:00,Delhi,28.8049215433767,77.29504535833712,Clear,Dry,0,2,2,8
2024-05-05 18:00:00,Bengaluru,12.894585017902084,77.5917252994192,Clear,Dry,0,1,2,5
2024-05-11 22:00:00,Chennai,13.15339488589923,80.3765408036371,Clear,Dry,0,1,4,7
2024-06-30 02:00:00,Hyderabad,17.491934751214075,78.43868360380375,Rainy,Wet,0,0,3,3
2024-04-24 16:00:00,Mumbai,19.079684884846202,72.86699060042116,Clear,Dry,0,0,3,3
2024-12-06 12:00:00,Bengaluru,12.84502912788234,77.6374183875476,Clear,Potholes,0,0,0,0
2024-07-25 20:00:00,Mumbai,19.00000523466272,72.92702289113038,Rainy,Dry,0,0,2,2
2024-09-13 22:00:00,Mumbai,19.108703638167764,72.84079016348767,Clear,Under Construction,0,1,0,3
2024-01-24 22:00:00,Pune,18.52873915786482,73.78324413214443,Clear,Dry,0,1,2,5
2024-10-11 23:00:00,Delhi,28.52765244669032,77.20801722916507,Clear,Dry,1,1,3,11
2024-02-27 03:00:00,Pune,18.61977952211155,73.851798208595,Clear,Dry,0,0,0,0
2024-10-17 19:00:00,Delhi,28.619168654012647,77.07233671051301,Clear,Potholes,0,3,7,16
2024-10-02 14:00:00,Pune,18.460972883976613,73.78576064582587,Clear,Dry,0,1,2,5
2024-08-14 13:00:00,Chennai,13.050235852049711,80.2301953725957,Rainy,Dry,0,0,4,4
2024-11-27 05:00:00,Pune,18.424240262641955,73.66740111050892,Clear,Potholes,2,0,0,10
2024-11-23 11:00:00,Delhi,28.552067293097615,77.24555666149095,Clear,Under Construction,0,0,3,3
2024-02-19 06:00:00,Bengaluru,12.871227115875268,77.66874138285388,Clear,Dry,0,0,1,1
2024-04-13 07:00:00,Mumbai,18.987984561407597,72.93239293246388,Clear,Under Construction,3,1,3,21
2024-02-27 11:00:00,Bengaluru,12.907787546532791,77.47920644248958,Clear,Dry,0,0,3,3
2024-07-14 00:00:00,Bengaluru,12.921754301417979,77.83934847591924,Rainy,Dry,0,0,3,3
2024-11-29 13:00:00,Bengaluru,12.910540119474339,77.5687818158899,Clear,Dry,1,1,2,10
2024-12-25 19:00:00,Hyderabad,17.35573186192163,78.45494555502468,Clear,Under Construction,0,1,3,6
2024-04-05 09:00:00,Chennai,13.089882144041525,80.30331597082169,Clear,Dry,0,0,2,2
2024-09-18 21:00:00,Hyderabad,17.388285068591383,78.53498908679634,Clear,Dry,1,0,3,8
2024-02-17 03:00:00,Bengaluru,12.942145078186705,77.44885792062497,Clear,Wet,1,1,1,9
2024-12-08 07:00:00,Delhi,28.73945461583687,77.10785912880041,Foggy,Dry,0,2,2,8
2024-06-16 23:00:00,Chennai,13.073721529276627,80.21937464908768,Rainy,Dry,0,1,2,5
2024-08-23 06:00:00,Delhi,28.653041514711326,77.21562520885325,Rainy,Dry,1,0,4,9
2024-03-08 23:00:00,Hyderabad,17.377148096886366,78.47513345013105,Clear,Wet,0,0,1,1
2024-01-19 01:00:00,Delhi,28.55829264880531,77.28393032953788,Foggy,Dry,0,1,3,6
2024-09-20 16:00:00,Pune,18.48048271128471,73.7298332802901,Clear,Dry,0,2,1,7
